amenities,host_response_rate,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,summary_len,houserules_len,Manhattan,Brooklyn,Queens,Others,Entire_home,Private_room,Shared_room,price
29,1,5,1.5,1,3,200,100,2,40,363,11,100,0.11,1,20,0,1,0,0,0,1,0,165
10,1,2,1,0,1,0,60,1,0,217,15,100,0.15,26,171,0,1,0,0,1,0,0,123
16,1,3,1,1,2,500,150,1,0,51,98,99,0.98,1,23,0,1,0,0,1,0,0,130
19,0.8,3,1,1,3,275,120,1,0,0,45,93,0.45,41,23,1,0,0,0,1,0,0,212
10,1,6,1,2,2,250,85,2,25,351,167,85,1.67,19,196,1,0,0,0,1,0,0,249
8,1,1,1,1,1,300,50,1,0,361,13,98,0.13,35,75,0,0,1,0,0,1,0,70
4,1,2,1,1,1,400,95,1,0,218,51,92,0.58,1,179,1,0,0,0,1,0,0,120
11,1,6,2,3,3,350,120,2,40,244,27,90,0.28,41,83,0,1,0,0,1,0,0,199
13,0.95,7,1,2,3,0,120,1,45,365,56,97,0.64,1,184,1,0,0,0,1,0,0,211
10,1,2,1,1,1,150,75,1,25,309,95,90,0.95,39,30,0,1,0,0,1,0,0,150
31,1,2,1,2,2,300,100,2,50,292,70,96,0.74,33,38,0,1,0,0,1,0,0,110
3,0.97,5,1,2,3,0,120,4,15,309,53,95,0.53,1,81,0,1,0,0,1,0,0,190
25,1,4,2,2,2,250,60,2,0,36,23,99,0.23,1,33,0,1,0,0,1,0,0,165
69,1,3,1,0,2,500,65,1,25,295,147,94,1.47,60,72,1,0,0,0,1,0,0,110
44,1,3,1,2,2,300,120,1,0,169,73,99,0.76,7,8,1,0,0,0,1,0,0,395
18,1,5,1,1,2,200,75,2,35,282,118,93,1.19,1,44,1,0,0,0,1,0,0,122
7,1,2,1,1,1,100,75,1,0,163,178,98,1.81,15,46,0,1,0,0,1,0,0,165
26,1,3,1,1,1,500,50,1,10,231,28,93,1.16,80,44,0,0,1,0,1,0,0,97
19,1,1,1,1,0,200,50,2,0,86,65,97,1.12,34,7,1,0,0,0,0,1,0,76
12,1,5,2.5,3,3,1000,200,3,15,41,18,98,0.21,85,18,0,1,0,0,1,0,0,225
24,1,2,1,1,1,500,20,2,25,32,71,87,0.74,18,23,0,1,0,0,1,0,0,64
28,1,3,0.5,1,2,1000,100,1,0,249,69,93,0.7,1,10,1,0,0,0,1,0,0,185
7,0.9,5,2,3,4,500,160,5,40,365,35,87,0.4,17,1,0,1,0,0,1,0,0,495
16,1,2,1,1,1,500,50,2,20,260,68,93,0.69,1,7,1,0,0,0,1,0,0,175
15,1,5,1,2,0,300,100,4,39,365,17,96,0.17,1,72,1,0,0,0,1,0,0,259
3,1,3,1,2,2,350,100,1,0,0,3,93,0.12,13,7,1,0,0,0,1,0,0,95
20,0.9,6,1,3,3,650,120,3,60,339,72,99,0.85,1,76,0,1,0,0,1,0,0,451
25,1,4,1,2,1,200,85,2,50,250,193,93,2.18,77,2,1,0,0,0,1,0,0,165
20,1,4,1,3,3,500,100,1,0,76,22,100,0.23,24,1,1,0,0,0,1,0,0,250
22,0.9,2,1,1,1,500,80,1,25,0,8,97,0.08,34,176,0,1,0,0,0,1,0,98
7,0.8,2,1,1,1,400,30,1,30,344,25,96,0.3,56,10,1,0,0,0,0,1,0,95
16,1,1,1,1,1,100,50,1,0,357,120,94,1.22,23,48,1,0,0,0,0,1,0,55
